#,Date-Time (CEST),Ch:1 - Temperature   (°C),Ch:2 - RH   (%),Dew Point   (°C),Host Connected,End of File
1,10/21/2022 13:17:23,17,97,53,24,8,34,,
2,10/21/2022 13:47:23,12,91,70,83,7,76,,
3,10/21/2022 14:17:23,12,31,74,23,7,87,,
4,10/21/2022 14:47:23,12,36,75,43,8,16,,
5,10/21/2022 15:17:23,13,08,70,26,7,80,,
6,10/21/2022 15:47:23,12,78,71,54,7,78,,
7,10/21/2022 16:09:48,,,,Logged,,,,
8,10/21/2022 16:10:40,,,,Logged,,,,
9,10/21/2022 16:17:23,12,28,60,22,4,80,,
10,10/21/2022 16:47:23,11,37,61,19,4,17,,
11,10/21/2022 17:17:23,10,78,25,10,-8,40,,
12,10/21/2022 17:47:23,9,17,18,82,-13,36,,
13,10/21/2022 18:17:23,8,00,17,81,-14,99,,
14,10/21/2022 18:47:23,7,65,16,79,-15,99,,
15,10/21/2022 19:17:23,7,26,17,27,-15,97,,
16,10/21/2022 19:47:23,6,96,18,93,-15,12,,
17,10/21/2022 20:17:23,6,52,18,46,-15,78,,
18,10/21/2022 20:47:23,5,94,21,76,-14,28,,
19,10/21/2022 21:17:23,6,21,22,61,-13,59,,
20,10/21/2022 21:47:23,6,12,23,21,-13,34,,
21,10/21/2022 22:17:23,6,09,22,16,-13,93,,
22,10/21/2022 22:47:23,6,01,22,83,-13,63,,
23,10/21/2022 23:17:23,5,60,23,07,-13,86,,
24,10/21/2022 23:47:23,5,55,22,39,-14,26,,
25,10/22/2022 00:17:23,5,93,21,70,-14,32,,
26,10/22/2022 00:47:23,6,25,20,71,-14,62,,
27,10/22/2022 01:17:23,6,15,20,66,-14,73,,
28,10/22/2022 01:47:23,6,11,22,01,-14,00,,
29,10/22/2022 02:17:23,6,10,21,35,-14,38,,
30,10/22/2022 02:47:23,6,52,19,70,-15,00,,
31,10/22/2022 03:17:23,7,30,16,64,-16,38,,
32,10/22/2022 03:47:23,7,89,15,74,-16,56,,
33,10/22/2022 04:17:23,7,87,21,26,-12,94,,
34,10/22/2022 04:47:23,7,87,23,05,-11,94,,
35,10/22/2022 05:17:23,8,03,28,01,-9,36,,
36,10/22/2022 05:47:23,8,03,30,86,-8,12,,
37,10/22/2022 06:17:23,7,85,29,83,-8,71,,
38,10/22/2022 06:47:23,7,59,29,13,-9,24,,
39,10/22/2022 07:17:23,7,87,35,30,-6,52,,
40,10/22/2022 07:47:23,8,70,33,21,-6,59,,
41,10/22/2022 08:17:23,9,91,34,90,-4,87,,
42,10/22/2022 08:47:23,10,18,31,54,-5,96,,
43,10/22/2022 09:17:23,10,39,32,43,-5,41,,
44,10/22/2022 09:47:23,10,52,36,65,-3,68,,
45,10/22/2022 10:17:23,10,54,39,19,-2,76,,
46,10/22/2022 10:47:23,11,18,41,48,-1,41,,
47,10/22/2022 11:17:23,12,12,42,04,-0,38,,
48,10/22/2022 11:47:23,12,66,38,43,-1,12,,
49,10/22/2022 12:17:23,13,26,37,27,-1,00,,
50,10/22/2022 12:47:23,13,99,39,26,0,36,,
51,10/22/2022 13:17:23,14,69,38,58,0,75,,
52,10/22/2022 13:47:23,15,43,38,29,1,30,,
53,10/22/2022 14:17:23,16,28,34,92,0,78,,
54,10/22/2022 14:47:18,,,,Logged,,,,
55,10/22/2022 14:47:23,13,53,96,92,13,07,,
56,10/22/2022 15:03:03,,,,Logged,,,,
57,10/22/2022 15:11:27,,,,Logged,Logged,,,
